char.no,Category,name,states,Martin's.notes,neomorphic.transformational,larval.adult,body.region
23,Body organization,Coelomoducts: number,1=single; 2=multiple,"Character 27 in @Haszprunar2000. Coelomoducts are excretory organs derived from the coelom, also in some cases serving as genital ducts (gonoducts); they replace (and may resemble) nephridia [@Goodrich1945].",transformational,Adult,Body.organization
24,Body organization,Gills,0=absent; 1=present,"Gills (or ctenidia) surround the molluscan foot. Character 1.59-60, 2.09, 4.49 in @SPS1996; 10--11 in @Haszprunar2000; 45 in @Sutton2012.",neomorphic,Adult,Body.organization
25,Body organization,Circulatory system,"1=epithelially lined; 2=poorly defined, involving sinuses and lacunae; 3=closed circulatory system",After character 23 in @Haszprunar1996; 24 in @Haszprunar2000; 41 in @Rouse1999; 16 in @Scheltema1993; 16 in @Vinther2008; 5 in @Haszprunar2008,transformational,Adult,Body.organization
26,Pedicle,Presence,0=absent; 1=present,"The brachiopod pedicle is a fleshy protuberance that emerges from the posterior part of the body wall -- as denoted in fossil taxa by its occurrence between the dorsal and ventral valves.   It is important to distinguish the pedicle from the ""pedicle sheath"", a tubular extension of the umbo that grows by accretion from an isolated portion of the ventral mantle.  For discussion see Holmer et al. 2018T and Bassett and Popov 2017.",neomorphic,Adult,Pedicle
27,Pedicle,Constitution,1=massive or uniform; 2=densely stacked tabular discs,"The pedicle of certain chengjiang rhynchonelliforms comprises ""densely stacked, three dimensionally preserved, tabular discs"" (Holmer et al. 2018E). This contrasts with the uniform ('massive') pedicles of living taxa.",transformational,Adult,Pedicle
28,Pedicle,Biomineralization,1=absent; 2=present,~transformational as contingent on pedicle~,transformational,Adult,Pedicle
29,Pedicle,Bulb,0=absent; 1=present,"A bulb is an expanded region of the distal pedicle, often embedded into the sediment to improve anchorage.",neomorphic,Adult,Pedicle
30,Pedicle,Distal rootlets,0=absent; 1=present,Observed in Pedunculotheca and Bethia (Sutton et al 2005).,neomorphic,Adult,Pedicle
31,Pedicle,Tapering,1=uniform thickness; 2=tapering,"Holmer et al. (2018T) remark that the tapering aspect of the Nisusia pedicle recalls that of certain Chengjiang taxa (Alisina, Longtancunella) whilst distinguishing it from many other taxa (Eichwaldia, Bethia) in which the pedicle is a constant thickness.",transformational,Adult,Pedicle
32,Pedicle,Coelomic region,1=absent; 2=present,"Certain brachiopods, such as Acanthotretella, exhibit a coelomic cavity within the pedicle or pedicle sheath. Treated as transformational as it is not clear that either state is necessarily ancestral.",transformational,Adult,Pedicle
33,Pedicle,Surface ornament,1=smooth; 2=regular annulations; 3=irregular wrinkles,"Annulations are regular rings that surround the pedicle, and are distinguished from wrinkles, which are irregular in magnitude and spacing, and may branch or fail to entirely encircle the pedicle.",transformational,Adult,Pedicle
34,Pedicle,Nerve impressions,0=absent; 1=present,In certain taxa the impression of the pedicle nerve is evident in the shell.  See character 28 in Williams et al. (1998T) appendix 1.  Care must be taken not to code an impression as absent when the preservational quality is insufficient to safely infer a genuine absence.  Treated as neomorphic as the presence of an innervation is considered a derived state.,neomorphic,Adult,Pedicle
35,Mantle canals,Presence,0=absent; 1=present,Whether impressed on a shell or expressed solely in soft tissue.,neomorphic,Adult,Mantle
36,Mantle canals,Morphology,1=pinnate (=lemniscate); 2=Bifurcate; 3=Baculate; 4=Saccate,"The morphology of dorsal and ventral canals is identical in all included taxa, so is assumed not to be independent - hence the use of a single character (contra Williams et al. 2000). For a description of terms see Williams et al. (1997, 2000). Pinnate = ""rapidly branch into a number of subequal, radially disposed canals"" Bifurcate = ""vascula lateralia in both valves divide immediately after leaving the body cavity"" Baculate =  ""extend forward without any major dichotomy or bifurcation"" (Williams et al. 1997 p. 418) Saccate = ""pouchlike sinuses lying wholly posterior to the arcuate vascula media"" (ibid., p412)",transformational,Adult,Mantle
37,Mantle canals,Vascula lateralia,0=absent; 1=present,"We treat the vascula lateralia as equivalent to the vascula genitalia of articulated brachiopods, allowing phylogenetic analysis to test their proposed homology. Williams et al (1997) write: ""The mantle canal system of most of the organophosphate-shelled species consists of a single pair of main trunks in the ventral mantle (vascula lateralia) and two pairs in the dorsal mantle, one pair (vascula lateralia) occupying a similar position to the single pair in the ventral mantle and a second pair projecting from the body cavity near the midline of the valve. This latter pair may be termed the vascula media, but whether they are strictly homologous with the vascula media of articulated brachiopods is a matter of opinion. It is also impossible to assert that the vascula lateralia are the homologues of the vascula myaria or genitalia of articulated species, although they are likely to be so as they arise in a comparable position.""  ""In inarticulated brachiopods, two main mantle canals (vascula lateralia) emerge from the main body cavity through muscular valves and bifurcate distally to produce an increasingly dense array of blindly ending branches near the periphery of the mantle (fig. 71.1-71.2).""",neomorphic,Adult,Mantle
38,Mantle canals,Vascula media,0=absent; 1=present (in dorsal valve),"Williams et al. (1997) note that in addition to the vascula lateralia, ""Discinisca has two additional mantle canals emanating from the body cavity into the dorsal mantle (vascula media)."" These structures are only evident in the dorsal valve for the included taxa, so only a single character is necessary.",neomorphic,Adult,Mantle
39,Mantle canals,Vascula terminalia,1=exclusively marginal (peripheral); 2=directed peripherally and (intero)medially,Presumed to be connected with setal follicles in life (Williams et al. 1998T).  See Williams et al. (2000) for discussion.,transformational,Adult,Mantle
40,Perioral tentacular apparatus,Presence,0=absent; 1=present,"The lophophore is a ring of tentacles that surrounds the mouth.  @Temereva2017Innervationof suggests that true lophophores must also encompass the anus, which excludes the tentacular apparatus of entoprocts from the definition; as homology between the tentacular apparatuses of entoprocts and other lophophorates has often been assumed, we prefer to take a more inclusive stance and code the structures as potentially homologous. It is unlikely that the tentacles of annelids and sipunculans correspond to the lophophore, yet homology is not inconceivable.  In order that the tentacular apparatus of Haplophrentis can be compared with both organs without prejudice, we capture the presence of a tentacular apparatus in this very broad character, with arguments against homology reflected in separate transformation series.",neomorphic,Adult,Feeding.and.Digestion
41,Perioral tentacular apparatus,Origin,"1=prostomium (i.e. anterior of larval prototroch); 2=second pair of coelomic sacs, at metamorphosis; 3=mid=trunk, prior to metamorphosis","The tentacles of annelids and sipunculans originate from a dorsal pair of buds on the prostomium [@Adrianov2006], whereas the brachiopod lophophore arises from the second pair of coelomic sacs [@Nielsen1991].",transformational,Adult,Feeding.and.Digestion
42,Perioral tentacular apparatus,Tentacle disposition,1=single side; 2=both sides,Tentacles may occur along one or both sides of the axis of the lophophore arm (Carlson 1995).,transformational,Adult,Feeding.and.Digestion
43,Perioral tentacular apparatus,Tentacle rows per side in trocholophe,0=no additional ablabial row; 1=adlabial and ablabial row,"After Carlson (1995), character 37.  Lophophore tentacles are commonly arranged into an ablabial and adlabial row, with ablabial tentacles sometimes added later in development.",neomorphic,Adult,Feeding.and.Digestion
44,Perioral tentacular apparatus,Tentacle rows per side in post-trocholophe,0=no additional ablabial row; 1=adlabial and ablabial row,"After Carlson (1995), character 37.  Lophophore tentacles are commonly arranged into an ablabial and adlabial row, with ablabial tentacles sometimes added later in development (and thus interpreted as a neomorphic addition).",neomorphic,Adult,Feeding.and.Digestion
45,Perioral tentacular apparatus,Median tentacle in early development,0=absent; 1=present,Following character 28 in Carlson 1995. Certain taxa exhibit a median tentacle early in development that is lost during ontogeny.,neomorphic,Adult,Feeding.and.Digestion
46,Perioral tentacular apparatus,Site of tentacle addition,1=at two points located behind the mouth; 2=at the tip of each lophophore arm,Following @Temereva2017Innervationof,transformational,Adult,Feeding.and.Digestion
47,Perioral tentacular apparatus,Innervation,1=Extensions of a circumoral nerve ring; 2=nerve rings within the tentacle ring itself,Annelid tentacles are innervated by palp nerves [@Orrhage2005]; lophophores ancestrally contained a pair of nerve rings [@Temereva2017Innervationof],transformational,Adult,Feeding.and.Digestion
48,Perioral tentacular apparatus,Inner nerve ring,"0=not reduced (whether present or absent due to absence of lophophore nerve rings); 1=reduced, weakly developed or absent in adults",Juvenile lophophorates exhibit two nerve rings in the tentacles; one of these rings is often reduced or lost at adulthood [@Temereva2017Innervationof],neomorphic,Adult,Feeding.and.Digestion
49,Perioral tentacular apparatus,Outer nerve ring,"0=not reduced (whether present or absent due to absence of lophophore nerve rings); 1=reduced, weakly developed or absent in adults",Juvenile lophophorates exhibit two nerve rings in the tentacles; one of these rings is often reduced or lost at adulthood [@Temereva2017Innervationof],neomorphic,Adult,Feeding.and.Digestion
50,Perioral tentacular apparatus,Musculature,"1=outer main tentacle muscle, two pairs of inner longitudinal muscles; 2=peripheral muscle fibres; 3=core of longitudinal muscle fibres surrounded by circular muscles",,transformational,Adult,Feeding.and.Digestion
51,Perioral tentacular apparatus,Forms closed loop,1=diverging laterally; 2=closed loop,"Whereas the lophophore of crown-group brachiopods typically forms a closed loop, those of Haplophrentis and Heliomedusa diverge laterally (Moysiuk et al 2017).",transformational,Adult,Feeding.and.Digestion
52,Perioral tentacular apparatus,Coiling direction,1=anteriad; 2=posteriad,"The lophophore arms of Heliomedusa and Haplophrentis arch posteriad, rather than anteriad as in lingulids.  See Zhang et al. 2009; Moysiuk et al. 2017.",transformational,Adult,Feeding.and.Digestion
53,Perioral tentacular apparatus,Adjustor muscle,0=absent; 1=present,Following character 55 in Carlson (1995).  Not possible to code in most fossil taxa.,neomorphic,Adult,Feeding.and.Digestion
54,Digestive tract,Prominent pharynx,0=absent; 1=present,"Hyoliths exhibit a prominent protrusible muscular pharynx at the base of the lophophore (Moysiuk et al. 2017).  This is considered as potentially equivalent to the anterior projection of the visceral cavity in Heliomedusa, and, by extension, in Lingulosacculus and Lingulotreta.",neomorphic,Adult,Feeding.and.Digestion
55,Digestive tract,Radula,0=absent; 1=present,Any apparatus comprising multiple denticulate rows arranged serially in the sagittal plane is treated as potentially homologous with the molluscan radula.,neomorphic,Adult,Feeding.and.Digestion
56,Digestive tract,Oesophageal folds,0=absent; 1=present,Following character 86 in @Giribet2002.,neomorphic,Adult,Feeding.and.Digestion
57,Digestive tract,Oral sphincter,0=absent; 1=present,Character 133 in @Grobe2007,neomorphic,Adult,Feeding.and.Digestion
58,Digestive tract,Foregut: Locomotory cilia,0=absent; 1=present,Character 66 in @Haszprunar2000,neomorphic,Adult,Feeding.and.Digestion
59,Digestive tract,Midgut: Subdivisions,0=not subdivided; 1=functional subdivisions,"The molluscan midgut is functionally subdivided into a sorting area (stomach), digestion area (midgut sac or gland), and transport tube (intestine).  Characters 42 in @Haszprunar2000, 1.38 in @SPS1996.",neomorphic,Adult,Feeding.and.Digestion
60,Digestive tract,Midgut: Glands,0=absent; 1=present,"Characters 1.40, 2.30 and 4.59 in @SPS1996; 42 in @Haszprunar2000.",neomorphic,Adult,Feeding.and.Digestion
61,Digestive tract,Anus: Presence,0=anus present: through-gut; 1=anus lost; digestive tract is blind sac,"The digestive tract may either constitute a blind sac, or a through gut with anus.  The loss of an anus is known to be derived within spiralia, so this character is treated as neomorphic.",neomorphic,Adult,Feeding.and.Digestion
62,Digestive tract,Anus: Location,"1=straight gut with (dorso)posterior anus; 2=anus migrated posteriad to create U-shaped gutl 3=anus opening to rear of pedal sole, causing slight U-shape to gut","The relative position of the mouth and anus in the larvae of brachiopods and phoronids is similar: posterior anus and anterior mouth -- Williams et al. 2007, p. 2884 See also character 6 in @Haszprunar2008",transformational,Adult,Feeding.and.Digestion
63,Digestive tract,Anus: Migration: Within ring of tentacles,1=not within ring of tentacles; 2=anterior - within ring of feeding tentacles,A migrated anus may be located laterally or within the lophophore ring (as in entoprocts).,transformational,Adult,Feeding.and.Digestion
64,Digestive tract,Anus: Migration: Position,1=left; 2=right; Dorsally; 4=Ventrally,"If the anus is not within the ring of tentacles, in which direction is it oriented?",transformational,Adult,Feeding.and.Digestion
65,Sclerites,Present in adult,0=absent; 1=present,"Plate-like (wider than tall) skeletal elements, whether mineralized or non-mineralized. The definition deliberately excludes setae (which are taller than wide).",neomorphic,Adult,Shell
66,Sclerites,Periodically shed and replaced,0=absent; 1=present,Certain taxa periodically slough and replace some of their individual sclerites during growth,neomorphic,Adult,Shell
67,Sclerites,Bivalved,0=scleritomous: without differentiated dorsal and ventral valves; 1=bivalved: scleritome dominated by prominent dorsal and ventral valve,Scleritome dominated by prominent differentiated dorsal and ventral valves,neomorphic,Adult,Shell
68,Sclerites,Accessory sclerites: Reduced,1=accessory sclerites not reduced; 2=accessory sclerites absent: two valves only,"Taxa in the bivalved condition may retain sclerites as small additional elements, such as the L-elements of Paterimitra (Skovsted et al. 2015).  Hyolithid helens are coded as potentially homologous to these elements [following @Moysiuk2017Hyolithsare]. This character is treated as neomorphic, with accessory sclerites ancestrally present, recognizing the likely origin of brachiozoans (and Lophotrochozoans more generally) from a scleritomous organism.",transformational,Adult,Shell
69,Sclerites,Accessory sclerites: Arrangement,0=single field; 1=peripheral and medial fields with distinct sclerite arrangements,Following @Zhao2017,neomorphic,Adult,Shell
70,Sclerites,Accessory sclerites: Symmetry,0=dextral and sinistral forms absent; 1=occurring in dextral and sinistral forms,Following @Zhao2017,neomorphic,Adult,Shell
71,Sclerites,Bivalved: Hinge line shape,0=astrophic; 1=strophic,,neomorphic,Adult,Shell
72,Sclerites,Bivalved: Enclosing filtration chamber,"0=no filtration chamber, or open chamber; 1=shells close to form enclosed filtration chamber","In crown-group brachiopods, the two primary shells close to form an enclosed filtration chamber.  Further down the stem, taxa such as Micrina do not.",neomorphic,Adult,Shell
73,Sclerites,Bivalved: Commissure: Exact correspondence of valve margins,1=margins align exactly when valves closed; 2=margins of different shape or size,"Orthothecid hyoliths can retract their operculum into their conical shell, in contrast to most other taxa, where the valves align exactly when they are closed, save perhaps for a pedicle notch or, in the case of hyolithids, depressions that allow the helens to protrude.  Refers only to two prominent valves, not to additional sclerites of e.g. Eccentrothca.",transformational,Adult,Shell
74,Sclerites,Bivalved: Commissure: Sulcate,1=rectimarginate; 2=uniplicate; 3=sulcate,"The anterior commissure can be rectimarginate (i.e. straight), uniplicate (i.e. median sulcus in ventral valve), or sulcate (with median sulcus in dorsal valve).",transformational,Adult,Shell
75,Sclerites,Bivalved: Commissure: Circular,1=continuous round outline with no corners (save at the hinge); 2=lateral margins linear,"Shape of the commissure in plan view, ignoring any deflection arising due to articulation at the hinge (e.g. delthyrium/notothyrium).  This character seeks to discriminate the essentially conical 'conchs' of orthothecid hyoliths from the polygonal 'conchs' of hyolithids.  Triangular and oblong outlines are not distinguished, as this is not entirely independent of the strophic/astrophic nature of the hinge.",transformational,Adult,Shell
76,Sclerites,Bivalved: Commissure: Lateral margins,"1=subparallel; 2=diverging; 3=initially diverging, becoming subparallel","If lateral margins are linear, are the subparallel (i.e. commissure profile oblong, with long hinge) or diverging (i.e. commissure profile triangular, with short hinge)?",transformational,Adult,Shell
77,Sclerites,Bivalved: Apophyses,0=absent; 1=present,"Micrina, like many brachiopods, bears tooth-like structures or processes that articulate the two primary valves. Caution must be applied before taxa are coded as ""absent"", as teeth can be subtle and may be overlooked.",neomorphic,Adult,Shell
78,Sclerites,Bivalved: Apophyses: Morphology,1=deltidiodont; 2=cyrmatodont; 3=pseudodont,"Deltidiodont teeth are simple hinge teeth developed by the distal accretion of secondary shell; Cyrtomatodont teeth are knoblike or hook-shaped hinge teeth developed by differential secretion and resorption of the secondary shell (fig. 322 in Williams et al 1997). Kutorginata (here represented by Kutorgina and Nisusia) don't have teeth (apophyses) or dental sockets, but their shells are articulated by ""two triangular plates formed by dorsal interarea, bearing oblique ridges on the inner sides"" (Williams et al 2000, p. 211); this simple hinge mechanism is different from other rhynchonelliforms (Williams et al. 2000, p.208; table 13 character 30), and is described as a ""pseudodont articulation"" (Holmer et al. 2018E).",transformational,Adult,Shell
79,Sclerites,Bivalved: Apophyses: Dental Plates,0=absent; 1=present,"Williams et al. 1997 (p362) write: ""Teeth [...] are commonly supported by a pair of variably disposed plates also built up exclusively of secondary shell and known as dental plates (Fig. 323.1, 323.3)."" Dewing (2001) elaborates: ""Dental plates are near-vertical, narrow sheets of shell tissue between the anteromedian edge of the teeth and floor of the ventral valve. They are a composite structure, resulting from the growth of teeth over the ridge that bounds the ventral-valve muscle field."" Williams et al. 2000 (p.201) write: ""The denticles lack supporting structures in all Obolellida, but in Naukatida they are supported by an arcuate plate below the interarea, the anterise (Fig. 119.3a)"". The anterise is conceivably homologous with the dental plates, thus the presence of either is coded ""present"" for this character.",neomorphic,Adult,Shell
80,Sclerites,Bivalved: Sockets,0=absent; 1=present,"Simplified from Bassett et al. (2001) character 16. This character is independent of apophyses, as several taxa bear sockets without corresponding teeth; the function of these sockets is unknown. See figs 323ff in Williams et al. (1997).",neomorphic,Adult,Shell
81,Sclerites,Bivalved: Socket ridges,0=absent; 1=present,"After Bassett et al. (2001) character 17.  May be difficult to distinguish from a brachiophore (see Fig 323 in Williams et al 1997), so the two structures are not distinguished here.",neomorphic,Adult,Shell
82,Sclerites,Bivalved: Muscle Scars: Ventral,0=absent; 1=present,After Bassett et al. (2001) character 6,neomorphic,Adult,Shell
83,Sclerites,Bivalved: Muscle Scars: Ventral: Position,1=posterolateral and medial attachments; 2=medial attachments only,"Muscles can attach to the ventral valve posterolaterally to, as well as between, the vascula lateralia (Popov 1992)",transformational,Adult,Shell
84,Sclerites,Bivalved: Muscle Scars: Adjustor,0=absent; 1=present,"After Bassett et al. (2001) character 7. This character is contingent on the presence of a pedicle.  Extreme caution must be used in inferring an absent state, as adjustor scars can be extremely difficult to distinguish from the adductor scars.",neomorphic,Adult,Shell
85,Sclerites,Bivalved: Muscle Scars: Dorsal adductors,1=dispersed; 2=radially arranged; 3=quadripartite,"After Bassett et al. (2001) character 8, and Williams et al. (1996, character 35; 2000, p. 160, character 54) In the dorsal valve, the anterior and posterior adductor scars of articulated brachiopods form a single (quadripartite) muscle field (Williams et al. 2000, p. 201) In contrast, the anterior and posterior scars of e.g. trimerellids have prominently separate attachment points, with anterior and posterior muscle fields clearly distinct, and coded as ""dispersed"". In e.g. kutorginates, adductor muscles are separated into left and right fields; the same is the case in lingulids, where there are more separate muscle groups and the left and right fields conspire to produce a radial arrangement; both of these configurations are scored as ""radially arranged"".",transformational,Adult,Shell
86,Sclerites,Bivalved: Muscle scars: Adductors: Position,1=oblique; 2=at high angle,Position of adductor muscles relative to commissural plane. After Bassett et al. (2001) character 11.,transformational,Adult,Shell
87,Sclerites,Bivalved: Muscle scars: Dermal muscles,0=absent or weakly developed; 1=strongly developed,"Based on character 11 in Zhang et al. (2014). Well developed dermal muscles present in the body wall of recent lingulates, which are absent in all calcareous-shelled brachiopods. These muscles are responsible for the hydraulic shell-opening mechanism, and possibly present in all organophosphatic-shelled brachiopods, with the possible exception of the paterinates (Williams et al., 2000, p. 32)",neomorphic,Adult,Shell
88,Sclerites,Bivalved: Muscle scars: Unpaired median (levator ani),0=absent; 1=present,"The <i>levator ani</i> is a diminutive unpaired medial muscle found in certain calcitic brachiopods (Williams et al. 2000; see fig. 89, character 34 in table 13)",neomorphic,Adult,Shell
89,Sclerites,Bivalved: Muscle scars: Dorsal diductor,0=absent; 1=present,After Bassett et al. (2001) character 9,neomorphic,Adult,Shell
90,Sclerites,Bivalved: Muscle scars: Dorsal diductor: Position,1=close to commissural plane; 2=oblique to commissural plane; 3=at high angle to commissural plane,After Bassett et al. (2001) character 10.,transformational,Adult,Shell
91,Sclerites,Dorsal valve: Growth direction,1=holoperipheral; 2=mixoperipheral; 3=hemiperipheral,"See Fig. 284 in Williams et al (1997). The growth direction dictates the attitude of the cardinal area relative to the hinge, which does not therefore represent an independent character. Crudely put, if, viewed from a dorsal position, the umbo falls within the outer margin of the shell, growth is holoperipheral; if it falls outside the margin, it is mixoperipheral; if it falls exactly on the margin, it is hemiperipheral.",transformational,Adult,Shell
92,Sclerites,Dorsal valve: Posterior surface: Differentiated,0=posterior face of dorsal valve not differentiated; 1=posterior face of dorsal valve forms distinct cardinal area or pseudointerarea,"In shells that grow by mixoperipheral growth, the triangular area subtended between each apex and the posterior ends of the lateral margins is termed the cardinal area.  In shells with holoperipheral growth, a flattened surface on the posterior margin of the valve is termed a pseudointerarea (paraphrasing Williams et al. 1997). In order for this character to be independent of a shell's growth direction, we do not distinguish between a ""cardinal area"", ""interarea"" or ""pseudointerarea"".",neomorphic,Adult,Shell
93,Sclerites,Dorsal valve: Differentiated dorsal surface: Morphology,0=curved lateral profile; 1=planar lateral profile,"It is possible for a cardinal area or pseudointerarea to be distinct from the anterior part of the shell, yet to remain curved in lateral profile. Taking an undifferentiated posterior margin as primitive, the primitive condition is curved -- flattening of the posterior margin represents an additional modification that can only occur once the posterior margin is differentiated.",neomorphic,Adult,Shell
94,Sclerites,Dorsal valve: Posterior surface: Medial groove,0=absent; 1=present,"Following character 29 in Williams et al. (2000), table 9 (which relates to pseudointerarea)",neomorphic,Adult,Shell
95,Sclerites,Dorsal valve: Posterior surface: Notothyrium,0=absent; 1=present,"A notothyrium is an opening in an interarea that accommodates the pedicle, and may be filled with plates.",neomorphic,Adult,Shell
96,Sclerites,Dorsal valve: Posterior surface: Notothyrium: Shape,1=parallel-sided cleft; 2=triangular,"A notothyrium is an opening in an interarea that accommodates the pedicle, and may be filled with plates. A simplification of character 5 in Bassett et al. 2001.",transformational,Adult,Shell
97,Sclerites,Dorsal valve: Posterior surface: Notothyrium: Chilidial plates,1=open; 2=covered by chilidial plates,A notothyrium may be open or covered by a chilidium or two chilidial plates. No included taxa exhibit more than one chilidial plate. Transformational as it is not self-evident whether the ancestral taxon had an open or closed notothyrium.,transformational,Adult,Shell
98,Sclerites,Dorsal valve: Notothyrial platform: ,0=absent; 1=present,"After Bassett et al. (2001) character 12. The presence or absence of a notothyrial platform, which often serves as an attachment point for the diductors in a similar fashion to the cardinal processes, is independent of the presence of a notothyrium.",neomorphic,Adult,Shell
99,Sclerites,Dorsal valve: Medial septum,0=absent; 1=present,The dorsal valve of many taxa is exhibits a septum or process (or myophragm) along the medial line.  See character 25 in Benedetto (2009).,neomorphic,Adult,Shell
100,Sclerites,Dorsal valve: Cardinal shield,0=absent; 1=present,"The hyolithid operculum is divided into a cardinal and conical shield [@Zhang2018Ahyolithid], separated by furrows corresponding to the position of the helens. See @Marek1976 (fig. 2) or @MartiMus2005 (fig. 1) for schematic. With no obvious sites for muscle attachment, the shields are unlikely to be homologous to the notothyrial platform.",neomorphic,Adult,Shell
